hebb_name,name,K,width,p,k,delta,hebb_eps0,hebb_lr_type,hebb_epochs,ratio,clas_eps0,clas_epochs,clas_lr_type,maxpool_kernel,power,activate,test_acc,seed,attack,certainty,samples,cutoff,pad,crit_eps,std_err_eps,MSE,R2,M,D,Q,B,nu
K10_w12_24,MX07_relu30,10,12,2,4,0.1,0.001,cosine,30,0.98,0.002,100,cosine,7,30.0,relu,0.5547,398164937,fgsm,0.8,1277,0.0,0.1,0.0267599902123488,4.0499472692940765e-05,0.0002195458309331,0.998020207094676,-0.2475268433265366,0.3924177553293017,0.8237792377942676,29.95948165206401,6.425546281967423e-05
K10_w12_24,MX09_elu10,10,12,2,4,0.1,0.001,cosine,30,0.98,0.002,100,cosine,9,10.0,elu,0.5205,178161251,fgsm,0.8,528,0.0,0.1,0.0408564637369736,6.539906036674936e-05,0.0001863256802949,0.9983143946638892,-0.2413863334408666,0.435720847415355,1.5619515035853644,29.993401907635928,6.729206348451957e-05
K10_w12_24,MX09_elu12,10,12,2,4,0.1,0.001,cosine,30,0.98,0.002,100,cosine,9,12.0,elu,0.5232,13716295164,fgsm,0.8,616,0.0,0.1,0.0380767498983987,4.668779788584696e-05,0.0001502046800331,0.998643099300622,-0.2361979683457065,0.4093664014444299,1.376992651574373,29.99592396083053,7.083827177495115e-05
K10_w12_24,MX09_elu16,10,12,2,4,0.1,0.001,cosine,30,0.98,0.002,100,cosine,9,16.0,elu,0.5317,198391526,fgsm,0.8,737,0.0,0.1,0.0352301392308607,4.147116744634376e-05,0.0001222252702498,0.9988962207636566,-0.2466489284730258,0.4161624488664951,1.3894250297598068,30.030328762529876,6.636975008010435e-05
K10_w12_24,MX09_elu20,10,12,2,4,0.1,0.001,cosine,30,0.98,0.002,100,cosine,9,20.0,elu,0.5349,54412698,fgsm,0.8,834,0.0,0.1,0.0334836680154892,3.0100270174995484e-05,7.879202365504708e-05,0.9992892723286728,-0.2514899401109971,0.4255274162849263,1.335300489016066,29.92214972886667,6.837789193586666e-05
K10_w12_24,MX09_elu25,10,12,2,4,0.1,0.001,cosine,30,0.98,0.002,100,cosine,9,25.0,elu,0.5408,486122446,fgsm,0.8,889,0.0,0.1,0.0318833931213142,4.085799749257612e-05,0.0001426464398302,0.9987119470678956,-0.2772394789552387,0.4357489960658488,2.451336893394914,29.9976264792488,6.673411465915062e-05
K10_w12_24,MX09_elu30,10,12,2,4,0.1,0.001,cosine,30,0.98,0.002,100,cosine,9,30.0,elu,0.5411,198150275,fgsm,0.8,923,0.0,0.1,0.0307378469063036,5.646896061683147e-05,0.0002840511644766,0.9974389120207552,-0.2666209376424949,0.4304417373456438,1.7651826101144106,30.087808526099614,6.756934517166643e-05
K10_w12_24,MX09_relu10,10,12,2,4,0.1,0.001,cosine,30,0.98,0.002,100,cosine,9,10.0,relu,0.5148,489697983,fgsm,0.8,527,0.0,0.1,0.0400002263450894,4.601720525992624e-05,9.576286400449788e-05,0.9991340143954532,-0.2415918064612133,0.4243940716753199,1.525134057943739,29.9226440397515,6.59067943076429e-05
K10_w12_24,MX09_relu12,10,12,2,4,0.1,0.001,cosine,30,0.98,0.002,100,cosine,9,12.0,relu,0.5205,49061646,fgsm,0.8,598,0.0,0.1,0.0379541214580787,4.823858862597804e-05,0.000145578769071,0.9986838130277488,-0.2377415142879089,0.41403270407394,1.3805460363265445,29.99812305017694,7.054713752075356e-05
K10_w12_24,MX09_relu16,10,12,2,4,0.1,0.001,cosine,30,0.98,0.002,100,cosine,9,16.0,relu,0.5294,11922073,fgsm,0.8,741,0.0,0.1,0.0351311980937939,3.701959550701744e-05,0.0001010714476293,0.9990888198928825,-0.2485924203510421,0.4141427883944322,1.475715352953046,30.006793526733208,6.666995678514828e-05
